Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2019-05-02,9646.4,9694.95,9620.7,9637.5,1451787510,32502.76
2019-05-03,9637.5,9665.5,9613.6,9624.55,1194985189,27752.98
2019-05-06,9544.95,9567.4,9513.85,9532.45,1132430027,26630.09
2019-05-07,9573.3,9578.55,9441.5,9450.8,1293893456,29319.34
2019-05-08,9433.1,9433.45,9331.7,9340.25,1485441576,30450.6
2019-05-09,9313.55,9339.55,9261.5,9299.75,1332587410,28895.62
2019-05-10,9309.35,9335.15,9271.1,9290.2,1410355040,30364.43
2019-05-13,9274.05,9288.85,9143.95,9159.95,1448550879,28370.5
2019-05-14,9156,9261.85,9108.45,9212.35,1610461883,33618.66
2019-05-15,9247.15,9265.65,9145.8,9160.1,1354437542,30657.43
2019-05-16,9176.5,9238.95,9136.4,9221.65,1288215233,29252.22
2019-05-17,9224.75,9339.35,9221.6,9329.7,1401303801,34216.41
2019-05-20,9538.3,9681.1,9485.85,9671.9,1760816962,41799.17
2019-05-21,9701,9713.5,9556.75,9578.85,1357571039,35415.51
2019-05-22,9595.6,9629.75,9555.8,9598.2,1471502814,33356.53
2019-05-23,9730,9835.7,9521.6,9552.75,2087015693,49513.7
2019-05-24,9618.75,9728.8,9563.6,9722.05,1618253254,39404.87
2019-05-27,9732.65,9820.95,9702.5,9804.9,1493184953,35689.74
2019-05-28,9834.95,9834.95,9768.3,9815.5,2083466862,50844.24
2019-05-29,9802.4,9812,9737.95,9757.15,1228742600,29829.53
2019-05-30,9762.8,9827.25,9759.5,9815.3,1700060759,35645.48
2019-05-31,9855.55,9889.3,9734.2,9805.05,1722900417,40664.99
2019-06-03,9827.75,9931.65,9796.85,9922.6,1186517526,31863.94
2019-06-04,9898,9941.45,9865.6,9876.2,1222700958,30135.7
2019-06-06,9889.55,9889.55,9712.05,9722.5,1535007689,36565.33
2019-06-07,9736.05,9761.75,9653.7,9735.85,1358725281,29256.42
2019-06-10,9784.45,9813.65,9727.9,9765.85,1501544968,25690.54
2019-06-11,9791.9,9826.65,9743.05,9805.1,1403396274,27744.02
2019-06-12,9801.95,9802.05,9727.75,9749.95,1126421205,24974.71
2019-06-13,9727.15,9758.9,9668.05,9747.05,1364817828,30110.12
2019-06-14,9742.8,9745.15,9652.6,9669.95,1208570037,27628.29
2019-06-17,9681.9,9681.95,9533.35,9543.6,1168363037,27495.66
2019-06-18,9547.5,9587.05,9514.1,9551.35,1394995294,28194.06
2019-06-19,9592.15,9634.15,9476.1,9526.2,1778939283,32158.01
2019-06-20,9501.55,9655.25,9476.25,9646,1877804938,31902.84
2019-06-21,9641.15,9641.25,9566.1,9581.6,1724488279,38352.72
2019-06-24,9585.95,9605.05,9543.4,9564.1,1303669501,24312.1
2019-06-25,9548.65,9643.75,9525.95,9632.85,1394460923,28895.71
2019-06-26,9611.95,9699.65,9604.15,9682.8,-,-
2019-06-27,9694.55,9733.95,9675.5,9692.35,2023509131,40069.1
2019-06-28,9707.45,9713.75,9644.1,9657.95,1289867464,28607.2
2019-07-01,9697,9724.35,9691.9,9713,1077596417,23708.17
2019-07-02,9734.75,9750.05,9675.8,9744.85,1196770112,24392.96
2019-07-03,9762.85,9774.8,9731.5,9757.3,1065751622,25094.2
2019-07-04,9767.8,9793.5,9765.2,9776.8,1147118816,25933.88
2019-07-05,9793.65,9805.3,9644.85,9657.65,1396093695,32083.96
2019-07-08,9619.4,9620.9,9418,9447.8,1288620102,30917.49
2019-07-09,9428.05,9473.4,9375.8,9455.65,1214460295,33655.33
2019-07-10,9443.65,9482.5,9385.7,9400.1,1026048152,27668.55
2019-07-11,9447.15,9475.7,9414.1,9466.4,1079846072,26576.05
2019-07-12,9480.05,9519.75,9448.4,9457.75,1190248591,30000.09
2019-07-15,9499.25,9502.7,9427.85,9469.15,1033882365,25600.13
2019-07-16,9473.85,9533.55,9456.6,9529.85,1190719870,27452.18
2019-07-17,9535.25,9563.95,9520.15,9543.35,1212551110,27995.1
2019-07-18,9534.15,9534.5,9447.65,9456.15,1228256718,28525.29
2019-07-19,9484.55,9494.9,9288.8,9304.65,1315031986,33002.07
2019-07-22,9282.6,9285.3,9197.3,9247.75,1243917817,31126.42
2019-07-23,9265.85,9277.65,9208.9,9233.55,1269990614,31342.34
2019-07-24,9228.8,9256.4,9134.65,9160.45,1308470960,32741.54
2019-07-25,9173.75,9232.45,9148.45,9159.15,1414137488,37957.16
2019-07-26,9156,9206.7,9125.35,9192.6,1347461417,31422.91
