Fund Name,Code,Url
kotak-mid-cap-fund-direct,MKM516,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MKM516
edelweiss-m-s-cp,MJP007,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MJP007
bnp-paribas-mid-cap-fund-dir,MAB726,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MAB726
kotak-emerging-equity-regular,MKM099,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MKM099
reliance-mid-small-cap-direct,MRC955,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MRC955
invesco-india-mid-cap-direct,MLI556,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MLI556
icici-pru-midcap-fund,MPI089,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MPI089
dsp-br-micro-cap-fund-direct,MDS584,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MDS584
franklin-i-smaller-cos,MTE090,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MTE090
reliance-mid-small-cap-fund,MRC110,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MRC110
birla-sl-emer-leaders-sr-6-rp,MBS2055,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MBS2055
axis-small-cap-fund-direct,MAA316,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MAA316
franklin-i-prima-direct,MTE317,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MTE317
dsp-br-micro-cap-fund-rp,MDS076,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MDS076
bnp-paribas-mid-cap-fund,MAB045,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MAB045
invesco-india-mid-n-smallcap,MLI183,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MLI183
kotak-mid-cap-fund-regular,MKM073,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MKM073
sahara-wealth-plus-vpo-direct,MFI089,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MFI089
hsbc-midcap-equity-direct,MHS331,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MHS331
invesco-india-mid-cap,MLI021,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MLI021
sahara-wealth-plus-vpo,MFI019,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MFI019
franklin-india-prima-fund,MKP002,http://www.moneycontrol.com/india/mutualfunds/mfinfo/portfolio_holdings/MKP002
