,Equity_x,stock_name,Equity_y,Sector
200,4,Mahindra Holida,Mahindra Holida,Services
201,4,Skipper,Skipper,Miscellaneous
202,4,Karur Vysya,Karur Vysya,Banking & Financial Services
203,4,Torrent Power,Torrent Power,Utilities
204,4,DB Corp,DB Corp,Media & Entertainment
205,4,SIS,SIS,Miscellaneous
206,4,PNB Housing Fin,PNB Housing Fin,Banking & Financial Services
207,4,Supreme Ind,Supreme Ind,Manufacturing
208,4,ITD Cementation,ITD Cementation,Cement & Construction
209,4,Techno Electric,Techno Electric,Engineering & Capital Goods
210,4,GE Power India,GE Power India,Engineering & Capital Goods
211,4,Reliance Comm,Reliance Comm,Telecommunication
212,4,Glenmark,Glenmark,Pharmaceuticals
213,4,Kajaria Ceramic,Kajaria Ceramic,Cement & Construction
214,4,Ashoka Buildcon,Ashoka Buildcon,Cement & Construction
215,4,Repco Home,Repco Home,Banking & Financial Services
216,4,Symphony,Symphony,Consumer Durables
217,4,KEC Intl,KEC Intl,Engineering & Capital Goods
218,4,Eris Life,Eris Life,Pharmaceuticals
219,4,TeamLease Ser.,TeamLease Ser.,Miscellaneous
220,4,L&T; Infotech,L&T; Infotech,Information Technology
221,4,Canara Bank,Canara Bank,Banking & Financial Services
222,4,NLC India,NLC India,Utilities
223,4,NHPC,NHPC,Utilities
224,4,Blue Star,Blue Star,Consumer Durables
225,4,Rallis India,Rallis India,Chemicals
226,4,Union Bank,Union Bank,Banking & Financial Services
227,4,EngineersInd,EngineersInd,Engineering & Capital Goods
228,4,Dollar Ind,Dollar Ind,Manufacturing
229,4,NIIT Tech,NIIT Tech,Information Technology
230,4,MCX India,MCX India,Miscellaneous
231,4,Cochin Shipyard,Cochin Shipyard,Miscellaneous
232,4,PNB,PNB,Banking & Financial Services
233,4,India Cements,India Cements,Cement & Construction
234,4,Endurance Techn,Endurance Techn,Automotive
235,4,BHEL,BHEL,Engineering & Capital Goods
236,4,Strides Shasun,Strides Shasun,Pharmaceuticals
237,4,NCC,NCC,Cement & Construction
238,4,Wonderla,Wonderla,Miscellaneous
239,4,Thomas Cook,Thomas Cook,Miscellaneous
240,3,Graphite India,Graphite India,Engineering & Capital Goods
241,3,CenturyPlyboard,CenturyPlyboard,Miscellaneous
242,3,Vinati Organics,Vinati Organics,Chemicals
243,3,KEI Industries,KEI Industries,Engineering & Capital Goods
244,2,Linde India,Linde India,Chemicals
245,2,Sundaram Fin,Sundaram Fin,Banking & Financial Services
246,2,Jyothy Labs,Jyothy Labs,Consumer Non-durables
247,2,Dish TV,Dish TV,Media & Entertainment
248,2,Bajaj Corp,Bajaj Corp,Consumer Non-durables
249,2,PVR,PVR,Media & Entertainment
250,2,Nava Bharat Ven,Nava Bharat Ven,Conglomerates
251,2,Bharat Fin,Bharat Fin,Banking & Financial Services
252,2,Rane Holdings,Rane Holdings,Automotive
253,2,Phoenix Mills,Phoenix Mills,Retail & Real Estate
254,2,Uniply Ind,Uniply Ind,Miscellaneous
255,2,Heritage Foods,Heritage Foods,Food & Beverages
256,2,Coffee Day,Coffee Day,Food & Beverages
257,2,Taj GVK Hotels,Taj GVK Hotels,Services
258,2,Cera Sanitary,Cera Sanitary,Cement & Construction
259,2,KCP,KCP,Cement & Construction
260,2,Gujarat Gas,Gujarat Gas,Oil & Gas
261,2,Abbott India,Abbott India,Pharmaceuticals
262,2,Apollo Hospital,Apollo Hospital,Services
263,2,Himadri Special,Himadri Special,Chemicals
264,2,Sheela Foam,Sheela Foam,Miscellaneous
265,2,Gulf Oil Lubric,Gulf Oil Lubric,Chemicals
266,2,BLS Internation,BLS Internation,Miscellaneous
267,2,CESC,CESC,Utilities
268,2,Indian Bank,Indian Bank,Banking & Financial Services
269,2,Honeywell Autom,Honeywell Autom,Telecommunication
270,2,Gateway Distri,Gateway Distri,Miscellaneous
271,2,Jindal Steel,Jindal Steel,Metals & Mining
272,2,ISGEC Heavy Eng,ISGEC Heavy Eng,Food & Beverages
273,2,Finolex Ind,Finolex Ind,Chemicals
274,2,Kirloskar Bros,Kirloskar Bros,Engineering & Capital Goods
275,2,Sterlite Techno,Sterlite Techno,Telecommunication
276,2,WABCO India,WABCO India,Automotive
277,2,South Ind Bk,South Ind Bk,Banking & Financial Services
278,2,Amulya Leasing,Amulya Leasing,Banking & Financial Services
279,2,Trident,Trident,Manufacturing
280,2,Tata Coffee,Tata Coffee,Food & Beverages
281,2,PTC India,PTC India,Services
282,2,CARE,CARE,Miscellaneous
283,2,INEOS Styro,INEOS Styro,Chemicals
284,2,Thyrocare Techn,Thyrocare Techn,Services
285,2,Can Fin Homes,Can Fin Homes,Banking & Financial Services
286,2,Music Broadcast,Music Broadcast,Media & Entertainment
287,2,Federal-Mogul,Federal-Mogul,Automotive
288,2,Gujarat Pipavav,Gujarat Pipavav,Services
289,2,Kaveri Seed,Kaveri Seed,Miscellaneous
290,2,Inter Globe Fin,Inter Globe Fin,Banking & Financial Services
291,2,GIC Housing Fin,GIC Housing Fin,Banking & Financial Services
292,2,Vardhman Text,Vardhman Text,Manufacturing
293,2,Phoenix Lamps,Phoenix Lamps,Automotive
294,2,NALCO,NALCO,Metals & Mining
295,2,Eimco Elecon,Eimco Elecon,Engineering & Capital Goods
296,2,Sagar Cement,Sagar Cement,Cement & Construction
297,2,Igarashi Motors,Igarashi Motors,Engineering & Capital Goods
298,2,Deccan Cements,Deccan Cements,Cement & Construction
299,2,DCB Bank,DCB Bank,Banking & Financial Services
300,2,Ahluwalia,Ahluwalia,Cement & Construction
301,2,Astra Microwave,Astra Microwave,Telecommunication
302,2,Mcleod,Mcleod,Food & Beverages
303,2,Future Life,Future Life,Retail & Real Estate
