,Equity_x,stock_name,Equity_y,Sector
115,21,Heritage Foods,Heritage Foods,Food & Beverages
116,21,NALCO,NALCO,Metals & Mining
117,21,Strides Shasun,Strides Shasun,Pharmaceuticals
118,21,Aditya Birla F,Aditya Birla F,Retail & Real Estate
119,21,Torrent Pharma,Torrent Pharma,Pharmaceuticals
120,21,Container Corp,Container Corp,Services
121,20,Salzer Electro,Salzer Electro,Engineering & Capital Goods
122,20,ICICI Bank,ICICI Bank,Banking & Financial Services
123,20,Cummins,Cummins,Engineering & Capital Goods
124,20,Greaves Cotton,Greaves Cotton,Engineering & Capital Goods
125,20,BEML,BEML,Engineering & Capital Goods
126,20,Texmaco Rail,Texmaco Rail,Engineering & Capital Goods
127,19,Kansai Nerolac,Kansai Nerolac,Chemicals
128,19,Healthcare Glob,Healthcare Glob,Services
129,19,Jyothy Labs,Jyothy Labs,Consumer Non-durables
130,19,Raymond,Raymond,Manufacturing
131,18,Dalmia Bharat,Dalmia Bharat,Cement & Construction
132,18,HDFC Bank,HDFC Bank,Banking & Financial Services
133,18,VIP Industries,VIP Industries,Manufacturing
134,18,Divis Labs,Divis Labs,Pharmaceuticals
135,18,WPIL,WPIL,Engineering & Capital Goods
136,18,KEC Intl,KEC Intl,Engineering & Capital Goods
137,18,Sadbhav Engg,Sadbhav Engg,Engineering & Capital Goods
138,18,Gulf Oil Lubric,Gulf Oil Lubric,Chemicals
139,18,P and G,P and G,Consumer Non-durables
140,18,Sundaram Fin,Sundaram Fin,Banking & Financial Services
141,17,Indian Bank,Indian Bank,Banking & Financial Services
142,17,L&T; Finance,L&T; Finance,Banking & Financial Services
143,17,PTC India,PTC India,Services
144,17,Himadri Special,Himadri Special,Chemicals
145,17,Siemens,Siemens,Engineering & Capital Goods
146,17,Finolex Ind,Finolex Ind,Chemicals
147,16,GNFC,GNFC,Chemicals
148,16,Vinati Organics,Vinati Organics,Chemicals
149,16,Tata Elxsi,Tata Elxsi,Information Technology
150,16,SKF India,SKF India,Engineering & Capital Goods
151,16,CRISIL,CRISIL,Miscellaneous
152,16,Muthoot Finance,Muthoot Finance,Banking & Financial Services
153,16,INEOS Styro,INEOS Styro,Chemicals
154,16,Alkem Lab,Alkem Lab,Pharmaceuticals
155,16,Cyient,Cyient,Information Technology
156,16,Grasim,Grasim,Conglomerates
157,16,Schneider Infra,Schneider Infra,Utilities
158,16,Kajaria Ceramic,Kajaria Ceramic,Cement & Construction
159,15,Guj Mineral,Guj Mineral,Metals & Mining
160,15,Page Industries,Page Industries,Manufacturing
161,15,Akzo Nobel,Akzo Nobel,Chemicals
162,15,Natco Pharma,Natco Pharma,Pharmaceuticals
