Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Rane Holdings,Automotive,"38,800.00",6.18,1.58,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Amulya Leasing,Banking & Financial Services,"55,000.00",1.50,0.38,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Kotak Mahindra,Banking & Financial Services,"204,000.00",19.91,5.09,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
IOC,Oil & Gas,"424,000.00",19.28,4.93,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
IndusInd Bank,Banking & Financial Services,"104,000.00",17.23,4.40,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Maruti Suzuki,Automotive,"22,000.00",16.94,4.33,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Astral Poly Tec,Manufacturing,"234,000.00",16.06,4.11,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Kajaria Ceramic,Cement & Construction,"224,000.00",15.72,4.02,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
MRF,Automotive,"2,440.00",15.64,4.00,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Titan Company,Miscellaneous,"244,000.00",15.06,3.85,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
RBL Bank,Banking & Financial Services,"274,000.00",14.92,3.81,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Petronet LNG,Oil & Gas,"640,000.00",14.54,3.72,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Minda Ind,Automotive,"168,000.00",14.19,3.63,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Eicher Motors,Automotive,"4,400.00",13.84,3.54,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Dollar Ind,Manufacturing,"290,000.00",13.84,3.54,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
PNB Housing Fin,Banking & Financial Services,"84,000.00",13.73,3.51,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
CDSL,Banking & Financial Services,"400,000.00",13.53,3.46,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Avenue Supermar,Retail & Real Estate,"128,000.00",13.31,3.40,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Eris Life,Pharmaceuticals,"220,000.00",13.00,3.32,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
SREI Infra,Banking & Financial Services,"1,000,000.00",12.83,3.28,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Infosys,Information Technology,"134,000.00",12.26,3.13,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Bharat Elec,Manufacturing,"640,000.00",12.16,3.11,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Bajaj Finance,Banking & Financial Services,"68,000.00",12.12,3.10,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
SIS,Miscellaneous,"154,000.00",11.94,3.05,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
South Ind Bk,Banking & Financial Services,"4,000,000.00",11.14,2.85,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Skipper,Miscellaneous,"508,000.00",10.78,2.76,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Sagar Cement,Cement & Construction,"104,000.00",8.84,2.26,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Rane Holdings,Automotive,"38,800.00",6.18,1.58,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Amulya Leasing,Banking & Financial Services,"55,000.00",1.50,0.38,IDFC Imperial Equity - Regular (G),MAG096,2017-10-05 16:02:56.333000
Bajaj Finance,Banking & Financial Services,"18,820.00",3.35,10.53,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
HPCL,Oil & Gas,"63,109.00",3.08,9.68,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Yes Bank,Banking & Financial Services,"17,380.00",3.05,9.57,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Petronet LNG,Oil & Gas,"130,725.00",2.97,9.33,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Maruti Suzuki,Automotive,"3,848.00",2.96,9.31,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Voltas,Conglomerates,"55,175.00",2.90,9.09,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
HDFC Bank,Banking & Financial Services,"15,910.00",2.83,8.88,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Larsen,Engineering & Capital Goods,"23,987.00",2.73,8.56,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Asian Paints,Chemicals,"22,860.00",2.67,8.39,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Shree Cements,Cement & Construction,"1,465.00",2.58,8.09,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Tata Motors,Automotive,"60,033.00",2.26,7.10,JM Core 11 Fund -Direct (G),MJM324,2017-10-05 16:03:06.365000
Bajaj Finance,Banking & Financial Services,"87,500.00",15.59,10.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
HDFC Bank,Banking & Financial Services,"62,015.00",11.02,7.27,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
Maruti Suzuki,Automotive,"13,500.00",10.40,6.86,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
HPCL,Oil & Gas,"180,000.00",8.79,5.80,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
ITC,Tobacco,"287,500.00",8.11,5.35,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
Eicher Motors,Automotive,"2,500.00",7.86,5.19,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
IOC,Oil & Gas,"170,000.00",7.73,5.10,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
ICICI Bank,Banking & Financial Services,"221,540.00",6.60,4.36,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.963000
Asian Paints,Chemicals,"45,750.00",5.35,3.53,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
HDFC,Banking & Financial Services,"30,000.00",5.33,3.52,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Larsen,Engineering & Capital Goods,"45,915.00",5.22,3.44,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
GAIL,Oil & Gas,"100,000.00",3.78,2.50,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Tata Motors,Automotive,"100,000.00",3.77,2.48,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
CARE,Miscellaneous,"25,000.00",3.71,2.45,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Cummins,Engineering & Capital Goods,"40,000.00",3.65,2.41,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Va Tech Wabag,Engineering & Capital Goods,"50,000.00",3.07,2.03,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Hindalco,Metals & Mining,"128,200.00",3.05,2.01,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Shree Cements,Cement & Construction,"1,692.00",2.98,1.96,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Balkrishna Ind,Automotive,"17,282.00",2.71,1.79,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Thermax,Engineering & Capital Goods,"30,000.00",2.67,1.76,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Yes Bank,Banking & Financial Services,"15,000.00",2.63,1.73,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Pidilite Ind,Chemicals,"31,000.00",2.59,1.71,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Grasim,Conglomerates,"20,000.00",2.39,1.58,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
SBI,Banking & Financial Services,"75,000.00",2.08,1.37,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Vedanta,Metals & Mining,"65,000.00",2.01,1.32,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
UltraTechCement,Cement & Construction,"5,000.00",2.00,1.32,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Kotak Mahindra,Banking & Financial Services,"20,000.00",1.95,1.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Tata Steel,Metals & Mining,"30,700.00",1.96,1.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
SKF India,Engineering & Capital Goods,"11,746.00",1.77,1.17,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Bank of Baroda,Banking & Financial Services,"125,000.00",1.72,1.14,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Bharat Forge,Manufacturing,"15,242.00",1.72,1.13,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Petronet LNG,Oil & Gas,"70,000.00",1.59,1.05,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Bajaj Finserv,Banking & Financial Services,"2,500.00",1.38,0.91,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Aditya Birla ,Miscellaneous,"28,000.00",0.52,0.34,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Bosch,Automotive,148.00,0.33,0.21,JM Multi Strategy Fund -Direct (G),MJM320,2017-10-05 16:03:12.964000
Bajaj Finance,Banking & Financial Services,"18,820.00",3.35,10.53,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
HPCL,Oil & Gas,"63,109.00",3.08,9.68,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Yes Bank,Banking & Financial Services,"17,380.00",3.05,9.57,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Petronet LNG,Oil & Gas,"130,725.00",2.97,9.33,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Maruti Suzuki,Automotive,"3,848.00",2.96,9.31,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Voltas,Conglomerates,"55,175.00",2.90,9.09,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
HDFC Bank,Banking & Financial Services,"15,910.00",2.83,8.88,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Larsen,Engineering & Capital Goods,"23,987.00",2.73,8.56,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Asian Paints,Chemicals,"22,860.00",2.67,8.39,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Shree Cements,Cement & Construction,"1,465.00",2.58,8.09,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
Tata Motors,Automotive,"60,033.00",2.26,7.10,JM Core 11 Fund (G),MJM171,2017-10-05 16:03:20.506000
HDFC Bank,Banking & Financial Services,-,-,8.83,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
IndusInd Bank,Banking & Financial Services,-,-,8.22,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Maruti Suzuki,Automotive,-,-,7.04,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Reliance,Oil & Gas,-,-,6.93,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
ICICI Bank,Banking & Financial Services,-,-,5.93,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Kotak Mahindra,Banking & Financial Services,-,-,4.60,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Larsen,Engineering & Capital Goods,-,-,4.24,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
TCS,Information Technology,-,-,4.13,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Britannia,Food & Beverages,-,-,3.30,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Power Grid Corp,Utilities,-,-,2.98,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
HCL Tech,Information Technology,-,-,2.93,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Coromandel Int,Chemicals,-,-,2.75,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Tata Motors,Automotive,-,-,2.68,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Shankara Buildi,Miscellaneous,-,-,2.56,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Hero Motocorp,Automotive,-,-,2.56,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
CDSL,Banking & Financial Services,-,-,2.45,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
L&T; Finance,Banking & Financial Services,-,-,2.01,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
IOC,Oil & Gas,-,-,1.89,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Cholamandalam,Banking & Financial Services,-,-,1.89,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Heritage Foods,Food & Beverages,-,-,1.62,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Interglobe Avi,Services,-,-,1.59,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
AIA Engineering,Engineering & Capital Goods,-,-,1.55,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
J. K. Cement,Cement & Construction,-,-,1.51,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Bharti Airtel,Telecommunication,-,-,1.48,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Sun Pharma,Pharmaceuticals,-,-,1.42,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
United Brewerie,Food & Beverages,-,-,1.33,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
TeamLease Ser.,Miscellaneous,-,-,1.28,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Can Fin Homes,Banking & Financial Services,-,-,1.22,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
MCX India,Miscellaneous,-,-,1.15,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Sanofi India,Pharmaceuticals,-,-,1.14,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Container Corp,Services,-,-,1.11,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Ratnamani Metal,Metals & Mining,-,-,0.70,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Shriram Trans,Banking & Financial Services,-,-,0.70,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
ISGEC Heavy Eng,Food & Beverages,-,-,0.70,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Greenply Ind,Miscellaneous,-,-,0.38,Invesco India Growth Fund-DP (G),MLI560,2017-10-05 16:03:30.818000
Bajaj Finance,Banking & Financial Services,"87,500.00",15.59,10.29,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
HDFC Bank,Banking & Financial Services,"62,015.00",11.02,7.27,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Maruti Suzuki,Automotive,"13,500.00",10.40,6.86,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
HPCL,Oil & Gas,"180,000.00",8.79,5.80,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
ITC,Tobacco,"287,500.00",8.11,5.35,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Eicher Motors,Automotive,"2,500.00",7.86,5.19,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
IOC,Oil & Gas,"170,000.00",7.73,5.10,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
ICICI Bank,Banking & Financial Services,"221,540.00",6.60,4.36,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Asian Paints,Chemicals,"45,750.00",5.35,3.53,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
HDFC,Banking & Financial Services,"30,000.00",5.33,3.52,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Larsen,Engineering & Capital Goods,"45,915.00",5.22,3.44,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
GAIL,Oil & Gas,"100,000.00",3.78,2.50,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Tata Motors,Automotive,"100,000.00",3.77,2.48,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
CARE,Miscellaneous,"25,000.00",3.71,2.45,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Cummins,Engineering & Capital Goods,"40,000.00",3.65,2.41,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Va Tech Wabag,Engineering & Capital Goods,"50,000.00",3.07,2.03,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Hindalco,Metals & Mining,"128,200.00",3.05,2.01,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Shree Cements,Cement & Construction,"1,692.00",2.98,1.96,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Balkrishna Ind,Automotive,"17,282.00",2.71,1.79,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Thermax,Engineering & Capital Goods,"30,000.00",2.67,1.76,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Yes Bank,Banking & Financial Services,"15,000.00",2.63,1.73,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Pidilite Ind,Chemicals,"31,000.00",2.59,1.71,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Grasim,Conglomerates,"20,000.00",2.39,1.58,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
SBI,Banking & Financial Services,"75,000.00",2.08,1.37,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Vedanta,Metals & Mining,"65,000.00",2.01,1.32,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
UltraTechCement,Cement & Construction,"5,000.00",2.00,1.32,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Kotak Mahindra,Banking & Financial Services,"20,000.00",1.95,1.29,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Tata Steel,Metals & Mining,"30,700.00",1.96,1.29,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
SKF India,Engineering & Capital Goods,"11,746.00",1.77,1.17,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Bank of Baroda,Banking & Financial Services,"125,000.00",1.72,1.14,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Bharat Forge,Manufacturing,"15,242.00",1.72,1.13,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Petronet LNG,Oil & Gas,"70,000.00",1.59,1.05,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Bajaj Finserv,Banking & Financial Services,"2,500.00",1.38,0.91,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Aditya Birla ,Miscellaneous,"28,000.00",0.52,0.34,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
Bosch,Automotive,148.00,0.33,0.21,JM Multi Strategy Fund (G),MJM238,2017-10-05 16:03:41.631000
HDFC Bank,Banking & Financial Services,"269,501.00",47.88,9.62,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
HDFC,Banking & Financial Services,"216,196.00",38.42,7.72,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
ICICI Bank,Banking & Financial Services,"987,654.00",29.44,5.91,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Kotak Mahindra,Banking & Financial Services,"289,984.00",28.30,5.69,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
ITC,Tobacco,"932,231.00",26.31,5.29,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Reliance,Oil & Gas,"156,475.00",24.95,5.01,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Larsen,Engineering & Capital Goods,"199,189.00",22.63,4.55,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Maruti Suzuki,Automotive,"26,105.00",20.10,4.04,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
HUL,Consumer Non-durables,"144,567.00",17.63,3.54,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
IndusInd Bank,Banking & Financial Services,"100,355.00",16.63,3.34,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
IOC,Oil & Gas,"315,338.00",14.34,2.88,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Vedanta,Metals & Mining,"358,931.00",11.09,2.23,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
NTPC,Utilities,"654,648.00",11.05,2.22,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
BPCL,Oil & Gas,"205,448.00",10.87,2.18,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Guj State Petro,Oil & Gas,"567,340.00",10.84,2.18,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Whirlpool,Consumer Durables,"88,442.00",10.45,2.10,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Tata Motors (D),Automotive,"456,029.00",9.98,2.00,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Hero Motocorp,Automotive,"23,893.00",9.55,1.92,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
M&M;,Automotive,"68,206.00",9.17,1.84,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Indiabulls,Banking & Financial Services,"73,278.00",8.91,1.79,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Cummins,Engineering & Capital Goods,"97,599.00",8.91,1.79,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Infosys,Information Technology,"96,922.00",8.87,1.78,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
City Union Bank,Banking & Financial Services,"550,000.00",8.74,1.76,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
Axis Bank,Banking & Financial Services,"140,912.00",7.05,1.42,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
HCL Tech,Information Technology,"75,363.00",6.52,1.31,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
CG Consumer,Manufacturing,"275,477.00",6.04,1.21,Sundaram Select Focus - IP (G),MSN243,2017-10-05 16:03:52.310000
