,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
19,,1.62,,,Cadila Health,,"351,635.00",,Pharmaceuticals,19,,,,,18.48,,MAA099,axis-mid-cap-fund
20,,1.55,,,MCX India,,"162,658.00",,Miscellaneous,20,,,,,17.68,,MAA099,axis-mid-cap-fund
21,,1.53,,,Gulf Oil Lubric,,"215,389.00",,Chemicals,21,,,,,17.46,,MAA099,axis-mid-cap-fund
22,,1.49,,,Igarashi Motors,,"173,139.00",,Engineering & Capital Goods,22,,,,,17,,MAA099,axis-mid-cap-fund
23,,1.46,,,V-Guard Ind,,"966,718.00",,Miscellaneous,23,,,,,16.66,,MAA099,axis-mid-cap-fund
24,,1.43,,,MRF,,"2,388.00",,Automotive,24,,,,,16.31,,MAA099,axis-mid-cap-fund
25,,1.38,,,Bajaj Finance,,"114,568.00",,Banking & Financial Services,25,,,,,15.74,,MAA099,axis-mid-cap-fund
26,,1.34,,,TTK Prestige,,"23,115.00",,Consumer Durables,26,,,,,15.29,,MAA099,axis-mid-cap-fund
27,,1.29,,,Amara Raja Batt,,"175,611.00",,Automotive,27,,,,,14.72,,MAA099,axis-mid-cap-fund
28,,1.22,,,Info Edge,,"135,387.00",,Miscellaneous,28,,,,,13.92,,MAA099,axis-mid-cap-fund
29,,1.16,,,Avenue Supermar,,"162,460.00",,Retail & Real Estate,29,,,,,13.23,,MAA099,axis-mid-cap-fund
30,,1.11,,,AIA Engineering,,"90,807.00",,Engineering & Capital Goods,30,,,,,12.66,,MAA099,axis-mid-cap-fund
31,,1.1,,,PSP Projects,,"465,226.00",,Cement & Construction,31,,,,,12.55,,MAA099,axis-mid-cap-fund
32,,1.08,,,Blue Dart,,"26,142.00",,Services,32,,,,,12.32,,MAA099,axis-mid-cap-fund
33,,1.08,,,WABCO India,,"22,312.00",,Automotive,33,,,,,12.32,,MAA099,axis-mid-cap-fund
34,,1.08,,,Cummins,,"134,939.00",,Engineering & Capital Goods,34,,,,,12.32,,MAA099,axis-mid-cap-fund
35,,1.05,,,PI Industries,,"143,539.00",,Chemicals,35,,,,,11.98,,MAA099,axis-mid-cap-fund
36,,1.02,,,Colgate,,"104,685.00",,Consumer Non-durables,36,,,,,11.64,,MAA099,axis-mid-cap-fund
37,,1.01,,,Voltas,,"251,669.00",,Conglomerates,37,,,,,11.52,,MAA099,axis-mid-cap-fund
38,,1.01,,,Bharat Elec,,"714,142.00",,Manufacturing,38,,,,,11.52,,MAA099,axis-mid-cap-fund
39,,1,,,Blue Star,,"189,953.00",,Consumer Durables,39,,,,,11.41,,MAA099,axis-mid-cap-fund
40,,0.96,,,VST Tillers,,"47,910.00",,Automotive,40,,,,,10.95,,MAA099,axis-mid-cap-fund
