"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"22-Nov-2018","     8952.45","     8973.90","     8868.20","     8879.00","     1014967646","        22977.27"
"26-Nov-2018","     8913.95","     8950.70","     8841.10","     8943.00","     1074665441","        27665.94"
"27-Nov-2018","     8938.30","     8990.45","     8924.40","     8983.90","     1129599563","        28990.54"
"28-Nov-2018","     9001.30","     9027.35","     8984.50","     8993.25","     1256593475","        30603.76"
"29-Nov-2018","     9051.85","     9097.00","     9031.05","     9081.85","     1752543319","        41406.48"
"30-Nov-2018","     9107.80","     9134.35","     9074.70","     9109.15","     1605201206","        38760.99"
"03-Dec-2018","     9153.60","     9157.95","     9097.50","     9126.90","     1523135357","        32137.97"
"04-Dec-2018","     9125.20","     9137.65","     9094.85","     9116.45","     1353091050","        28373.87"
"05-Dec-2018","     9075.05","     9075.35","     8999.65","     9029.45","     1198625103","        27743.12"
"06-Dec-2018","     8975.40","     8975.65","     8874.95","     8883.25","     1229440286","        29202.07"
"07-Dec-2018","     8917.35","     8947.35","     8876.55","     8940.65","     1166333395","        30368.56"
"10-Dec-2018","     8789.75","     8818.65","     8760.15","     8769.60","     1077537129","        26339.43"
"11-Dec-2018","     8655.10","     8859.65","     8646.55","     8845.15","     1292271254","        31824.16"
"12-Dec-2018","     8882.20","     9031.60","     8865.00","     9021.60","     1237968726","        30373.43"
"13-Dec-2018","     9078.75","     9113.15","     9037.85","     9077.30","     1270743038","        31715.17"
"14-Dec-2018","     9072.45","     9104.45","     9046.45","     9091.30","     1325671237","        27714.45"
"17-Dec-2018","     9127.55","     9162.95","     9118.50","     9153.95","      941829527","        23484.29"
"18-Dec-2018","     9126.50","     9183.25","     9108.10","     9177.35","     1061222738","        25830.85"
"19-Dec-2018","     9203.05","     9258.35","     9201.55","     9246.80","     1433672887","        33603.46"
"20-Dec-2018","     9188.35","     9241.10","     9180.00","     9234.45","     1263836000","        29270.32"
"21-Dec-2018","     9236.55","     9255.80","     9071.45","     9082.55","     1379367465","        34517.23"
"24-Dec-2018","     9100.90","     9102.05","     8992.20","     9002.45","     1031756392","        23085.53"
"26-Dec-2018","     8977.95","     9056.20","     8879.45","     9041.70","     1098579836","        26281.11"
"27-Dec-2018","     9110.85","     9119.80","     9070.65","     9078.80","     1494020701","        34440.01"
"28-Dec-2018","     9111.95","     9173.60","     9109.70","     9152.55","      985262781","        24374.32"
"31-Dec-2018","     9194.65","     9207.10","     9159.30","     9170.00","      857723474","        20800.10"
"01-Jan-2019","     9186.70","     9206.05","     9128.40","     9197.90","      724662248","        16992.99"
"02-Jan-2019","     9169.70","     9195.25","     9065.45","     9103.40","     1109343017","        27083.35"
"03-Jan-2019","     9106.65","     9130.00","     9006.75","     9014.80","      992708044","        25850.17"
"04-Jan-2019","     9034.25","     9064.85","     8978.20","     9054.90","     1181698697","        26746.32"
"07-Jan-2019","     9117.20","     9136.30","     9064.65","     9081.15","      985071768","        23345.65"
"08-Jan-2019","     9090.80","     9109.10","     9052.10","     9098.65","      976173837","        24758.67"
"09-Jan-2019","     9143.20","     9149.35","     9050.15","     9127.45","     1101309246","        28243.89"
"10-Jan-2019","     9132.80","     9144.00","     9102.55","     9119.40","      907528784","        22642.16"
"11-Jan-2019","     9130.70","     9142.30","     9057.15","     9098.20","      861743777","        23305.01"
"14-Jan-2019","     9102.40","     9102.90","     9014.95","     9051.45","      911936194","        23759.25"
"15-Jan-2019","     9082.50","     9163.30","     9082.50","     9157.15","      978894140","        26619.16"
"16-Jan-2019","     9167.45","     9195.05","     9150.00","     9158.75","      973275892","        25021.81"
