,Equity
VRL Logistics,8
Kirloskar Ind,8
Dr Lal PathLab,8
TVS Srichakra,8
Syngene Intl,8
Vedanta,8
Essel Propack,8
BPCL,8
Tamil Newsprint,8
Future Life,8
Suven Life Sci,8
Indo Count,8
Hawkins Cooker,8
BASF,8
IFGL Refractory,8
IFB Industries,8
Sobha,8
Kewal Kiran,8
Triveni Turbine,8
Hind Constr,7
Jindal Steel,7
Alembic Pharma,7
Dish TV,7
Tata Comm,7
Interglobe Avi,7
Dewan Housing,7
PNB,7
JB Chemicals,7
GNA Axles,7
Rel Capital,7
Atul Auto,6
Amrutanjan Heal,6
Parag Milk Food,6
EIH,6
Precision Camsh,6
Shriram Trans,6
Indoco Remedies,6
Kaveri Seed,6
Bajaj Electric,6
GAIL,6
Monte Carlo,6
Fortis Health,6
V-Mart Retail,6
Orient Refract,6
Skipper,6
Kirloskar Bros,6
Cipla,6
Tata Power,6
Sonata,6
Motilal Oswal,6
Nava Bharat Ven,6
Voltamp Trans,6
Info Edge,6
APL Apollo,6
Hero Motocorp,6
Transport Corp,6
Sharda Crop,6
Camlin Fine,6
Can Fin Homes,6
Sagar Cement,6
TV TodayNetwork,6
Zydus Wellness,6
JK Bank,6
Manappuram Fin,6
Mold Tek Tech,6
M&M;,6
VST,6
Aegis Logistics,6
Bajaj Auto,6
HCL Tech,6
Avanti Feeds,6
Godrej Prop,6
Mayur Uniquoter,6
Sintex Plastics,6
IDFC,6
GE T&D; India,6
HUL,6
Mah Seamless,6
Power Grid Corp,6
Manpasand Bever,6
Power Mech,6
Rajapalayam,6
Delta Corp,6
Disa India,6
Maruti Suzuki,6
Orient Cement,6
Nilkamal,6
Bajaj Corp,6
Orient Paper,6
Deccan Cements,6
Tech Mahindra,6
Marico,6
Power Finance,5
Godrej Ind,5
REC,5
Torrent Power,5
Jubilant Life,5
Biocon,5
Oil India,5
Sun TV Network,5
SIS,5
Sun Pharma Adv,5
Ajanta Pharma,5
South Ind Bk,5
Sundaram-Clayto,5
Zuari Agro Chem,4
TeamLease Ser.,4
Poddar Housing ,4
Satin Credit,4
Graphite India,4
Firstsource Sol,4
Bajaj Holdings,4
Kirloskar Pneum,4
Tata Coffee,4
Action Const,4
AksharChem,4
Eicher Motors,4
Birla Corp,4
FDC,4
Sterling Tools,4
Sequent Scienti,4
Hikal,4
ACC,4
Polyplex Corp,4
NBCC (India),4
KPIT Tech,4
Future Consumer,4
Sudarshan Chem,4
Symphony,4
Ambuja Cements,4
Phillips Carbon,4
HPL Electric & ,4
Indian Hume,4
Sunteck Realty,4
IOC,4
GIC Housing Fin,4
KCP,4
Guj Alkali,4
Geojit Fin,4
Welspun India,4
Agro Tech Foods,4
Genus Power,4
GTPL Hathway,4
MOIL,4
Minda Corp,4
GOCL Corp,4
TTK Prestige,4
Mirza Intl,4
Automotive Axle,4
Hexaware Tech,4
Tata Motors,4
Asian Paints,4
Infosys,4
Cox & Kings,4
Lupin,4
Narayana Hruda,4
Siyaram Silk,4
DCM Shriram,4
Insecticides,4
RSWM,4
Dr Reddys Labs,4
NIIT,4
SpiceJet,4
Pfizer,4
GSFC,4
GE Power India,4
Oberoi Realty,4
Oriental Carbon,4
NESCO,4
Apex Frozen,4
Hinduja Global,4
NMDC,3
Reliance Comm,3
Hind Dorr-Olive,3
Jubilant Food,3
Bank of India,3
Ramco System,3
NHPC,3
DLF,3
LIC Housing Fin,3
SAIL,3
Wockhardt,3
Vakrangee,3
IDFC Bank,3
Varun Beverages,3
Nagarjuna Fert,2
Sutlej Textiles,2
Valiant Organic,2
Deepak Fert,2
Majesco,2
Momai Apparels,2
Good Luck,2
Rico Auto,2
Nestle,2
Gravita India,2
PDS Multi,2
Prabhat Dairy,2
ONGC,2
CDSL,2
Larsen,2
Gammon Infra,2
HDFC,2
Indiabulls Hsg,2
S P Apparels,2
Titan Company,2
Titagarh Wagons,2
Lux Industries,2
Hindustan Media,2
Jet Airways,2
ITC,2
Lovable Lingeri,2
BSE Limited,2
Sarla Performan,2
Ashapura Intima,2
Gulshan Poly,2
BLS Internation,2
Honda Siel,2
Music Broadcast,2
Inox Wind,2
Visaka Ind,2
Ballarpur Ind,2
Wim Plast,2
Gufic Bio,2
Coal India,2
Max Ventures an,2
JSW Steel,2
D-Link India,2
Huhtamaki PPL,2
Lumax Auto Tech,2
HBL Power,2
Steel Str Wheel,2
Mangalam Cement,2
Karnataka Bank,2
FIEM Ind,2
Excel Crop Care,2
Auto Corp Goa,2
HT Media,2
Pearl Global In,2
Guj Heavy Chem,2
Hatsun Agro,2
Shree Pushkar,2
Vindhya Telelin,2
Siti Networks,2
Savita Oil Tech,2
Shemaroo Ent,2
Arihant Super,2
Jindal (Hisar),2
Glenmark,2
Ashiana Housing,2
Balrampur Chini,2
V2 Retail,2
Aditya Birla ,2
Ion Exchange,2
Linc PenandPlas,2
Pricol,2
Rajratan Global,2
Quess Corp,2
Idea Cellular,2
NOCIL,2
Sadbhav Infra,2
Welspun Corp,2
JMC Projects,2
Kaya,2
Thangamayil,2
Balaji Amines,2
Magma Fincorp,2
EID Parry,2
Indiabulls,2
Bharat Bijlee,2
Claris Life,2
GlaxoSmithKline,2
Ganesha Ecosph,2
Kalyani Steels,2
Radico Khaitan,2
Bharat Wire Rop,2
OCL India,2
Garware Wall,2
Aarti Drugs,2
KSK Energy Vent,2
DFM Foods,2
Lakshmi Vilas,2
Summit Sec,2
Seya Industries,2
Oriental Hotels,2
SQS India BFSI,2
Control Print,2
Abbott India,2
Supreme Petro,2
Banco Products,2
Inter Globe Fin,2
Hind Copper,2
Neuland Lab,2
Srikalahasthi,2
Federal-Mogul,2
Guj Ind Power,2
La Opala RG,2
Intellect Desig,2
Cera Sanitary,2
Dhunseri Tea,2
8K Miles Soft,2
Asahi India,2
Greenlam Ind,2
Arman Financial,2
Tata Inv Corp,2
Pennar Inds,2
NCL Industries,2
Bodal Chemicals,2
L&T; Infotech,2
Gabriel India,2
Indian Metals,2
Fairchem Spec,2
Tejas Networks,2
Kirloskar Ferro,2
Career Point,2
CCCL,2
IDBI Bank,1
Rajesh Exports,1
JSW Energy,1
Reliance Power,1
Adani Power,1
Reliance Infra,1
Indiabulls Real,1
Suzlon Energy,1
