Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",21759,1.36,1.35,Midcap,"Sundaram Select Micro Cap-Sr 16-DP-G",MSN1359,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9030,0.56,0.66,Midcap,"Sundaram Select Micro Cap-Sr 17-RP-G",MSN1361,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9030,0.56,0.66,Midcap,"Sundaram Select Micro Cap-Sr 17-DP-G",MSN1363,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",21000,1.31,0.76,Banking,"Sundaram Fin-Serv. Opp.-RP (G)",MSN227,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",21000,1.31,0.76,Banking,"Sundaram Fin-Serv. Opp.-IP (G)",MSN229,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",21000,1.31,0.76,Banking,"Sundaram Fin-Serv Opp. -Direct (G)",MSN549,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",420000,26.22,1.12,Diversified,"Sundaram Rural India -Direct (G)",MSN574,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",23371,1.46,1.05,Midcap,"Sundaram Select Micro Cap-Sr 1-RP-G",MSN795,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",23371,1.46,1.05,Midcap,"Sundaram Select Micro Cap-Sr 1-DP-G",MSN797,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",15528,0.97,1.04,Midcap,"Sundaram Select Micro Cap-Sr 2-RP-G",MSN837,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",15528,0.97,1.04,Midcap,"Sundaram Select Micro Cap-Sr 2-DP-G",MSN839,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",12936,0.81,1.04,Midcap,"Sundaram Select Micro Cap-Sr 3-RP-G",MSN841,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",12936,0.81,1.04,Midcap,"Sundaram Select Micro Cap-Sr 3-DP-G",MSN843,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9767,0.61,1.06,Midcap,"Sundaram Select Micro Cap-Sr 4-RP-G",MSN867,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9767,0.61,1.06,Midcap,"Sundaram Select Micro Cap-Sr 4-DP-G",MSN869,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",505000,31.52,1.05,Diversified,"Franklin (I) Flexi Cap (G)",MTE078,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,208.21,2.86,Midcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,208.21,2.86,Midcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",218842,13.66,1.96,Diversified,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",505000,31.52,1.05,Diversified,"Franklin (I) Flexi Cap -Direct (G)",MTE327,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",55000,3.43,1.15,Midcap,"Union SCF -RP (G)",MUK089,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",55000,3.43,1.15,Midcap,"Union SCF -DP (G)",MUK091,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",10800,0.67,0.08,Arbitrage,"L&T; Arbitrage Oppor. - Regular (G)",MCC502,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",10800,0.67,0.08,Arbitrage,"L&T; Arbitrage Oppor. - Direct (G)",MCC504,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",70200,4.38,0.1,Arbitrage,"HDFC Arbitrage Fund - Direct (G)",MHD1171,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",70200,4.38,0.1,Arbitrage,"HDFC Arbitrage Fund - WP - DP (G)",MHD2147,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",70200,4.38,0.1,Arbitrage,"HDFC Arbitrage Fund - RP (G)",MHD225,"2018-03-04 00:00:00"
