,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
79,Polar Ind,bonus,06-01-1995,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/polarindustries/PI14,
80,Kedia Distiller,bonus,06-01-1995,0.5,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/kediadistilleries/KD02,
81,Ruttonsha Intl,bonus,05-01-1995,0.5,https://www.moneycontrol.com/india/stockpricequote/electricals/ruttonshainternationalrectifier/RIR,
82,GlaxoSmithKline,bonus,02-01-1995,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,
0,Websol Energy,bonus,29-12-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/electricequipment/websolenergysystem/WSL,
1,Luharuka Media,bonus,23-12-2009,0.25,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/luharukamediainfra/SMW,
2,CNI Research,bonus,17-12-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/cniresearch/CNI,
3,Jaiprakash Asso,bonus,17-12-2009,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,
4,Diamond Power,bonus,16-12-2009,0.75,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/diamondpowerinfrastructure/DC05,
5,Signet Ind,bonus,11-12-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/signetindustries/SF22,
6,Adani Enterpris,bonus,10-12-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,
7,Intl Conveyor,bonus,10-12-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/internationalconveyors/IC05,
8,Valson Ind,bonus,07-12-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/valsonindustries/VIL02,
9,Reliance,bonus,26-11-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,
10,IOC,bonus,29-10-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,
11,Modi Naturals,bonus,14-10-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/modinaturals/AMO,
12,Swelect Energy,bonus,14-10-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/electricequipment/swelectenergysystems/NPS,
13,Sundaram-Clayto,bonus,09-10-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundaramclayton/SC,
14,Shree Nath Comm,bonus,07-10-2009,0.25,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/shreenathcommercialfinance/SNC01,
15,Falcon Tyres,bonus,25-09-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/tyres/falcontyres/FT,
16,Jaybharat Text,bonus,16-09-2009,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jaybharattextilesandrealestate/JTA,
17,Ramcoind,bonus,14-09-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/ramcoindustries/RI26,
18,Jindal Steel,bonus,14-09-2009,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP,
19,Hiran Orgochem,bonus,10-09-2009,0.2,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hiranorgochem/HO01,
20,Navneet,bonus,08-09-2009,0.4,https://www.moneycontrol.com/india/stockpricequote/printingstationery/navneeteducation/NP01,
21,Country Condos,bonus,04-09-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/countrycondos/CC28,
22,Tilaknagar Ind,bonus,02-09-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/tilaknagarindustries/TI09,
23,GEE,bonus,25-08-2009,0.8,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/gee/GEE02,
24,Linkson Intl,bonus,21-08-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/trading/linksoninternational/LI9,
25,Kanani Ind,bonus,20-08-2009,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/kananiindustries/KI26,
26,Glodyne Techno,bonus,20-08-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/glodynetechnoserve/GT07,
27,Orient Abrasive,bonus,12-08-2009,0.5,https://www.moneycontrol.com/india/stockpricequote/abrasives/orientabrasives/OA01,
