SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Nava Bharat Ven,split,24-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NBV,
NCC,split,24-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NCC01,
Sumeru Ind,split,22-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI81,
OM Metals Infra,split,22-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=OMM02,
Shasun Pharma,split,19-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SCD,
Koa Tools,split,19-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KTI03,
Mazda,split,18-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=M14,
Praj Industries,split,17-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PI17,
Orient Abrasive,split,16-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=OA01,
Lahoti Over,split,12-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LO01,
Landmarc Corp,split,12-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LLC,
Kirloskar Ind,split,10-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KOE,
Kirloskar Bros,split,10-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KB02,
Geometric,split,02-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=G03,
Ranbaxy Labs,split,25-07-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RL,
Filmcity Media,split,25-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FM,
Faze Three Exp,split,22-07-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FTE,
Mindvision Cap,split,21-07-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KF01,
Bharat Forge,split,20-07-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BF03,
Interface Fin,split,18-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IFS01,
Firstobject Tec,split,15-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FT03,
Zigma Software,split,13-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GRM02,
HCL Info,split,08-07-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HCL,
Asahi Infra,split,04-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AIA,
IKF Tech,split,04-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IKF01,
IFSL,split,01-07-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IFS05,
Ugar Sugar Work,split,29-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=USW,
SGN Cable,split,23-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SGN,
Brijlaxmi Lease,split,22-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BLF04,
Hinafil India,split,20-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HI04,
Ambuja Cements,split,20-06-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AC18,
Systel Infotech,split,20-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI74,
Greenply Ind,split,16-06-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI19,
Diana Tea,split,13-06-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DTC,
Sapan Chemicals,split,02-06-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SC52,
Global Films,split,30-05-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GFB01,
Cat Technologie,split,30-05-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CT07,
EID Parry,split,27-05-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EID,
Aban Offshore,split,04-05-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AO04,
Ind-Swift,split,29-04-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IS02,
Hexaware Tech,split,28-04-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HT02,
Ruchinfra,split,21-04-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RI27,
Kanika Infocom,split,15-04-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KIG,
Aadhaar Venture,split,11-04-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PI37,
JB Chemicals,split,05-04-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JBC01,
Balrampur Chini,split,23-03-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BCM,
Eskay Knit,split,22-03-2005,0.25,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EK01,
Krishna Life,split,22-03-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KLT01,
Sterling Bio,split,18-03-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SB11,
Shivalik Bimeta,split,15-03-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBC01,
Gammon India,split,15-03-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI03,
LCC Infotech,split,14-03-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LCC,
Fast Track,split,11-03-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FTE01,
Rico Auto,split,11-03-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RA04,
