COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
0,HTMEDIA,split,28-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HT,
1,KEI,split,21-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KEI,
2,LAKSHMIEFL,split,15-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LEF,
3,LAXMIMACH,split,13-12-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LMW,
4,FEL,split,12-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PR03,
5,FELDVR,split,12-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FELDV57000,
6,GRAPHITE,split,11-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI13,
7,SANWARIA,split,08-12-2006,0.4,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SAO,
8,TCI,split,05-12-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TCI04,
9,ALICON,split,04-12-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EC06,
11,SUPREMETEX,split,17-11-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=STM03,
13,MAZDA,split,13-11-2006,5.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=M14,
14,INDHOTEL,split,27-10-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IHC,
15,GMMPFAUDLR,split,20-10-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GMM01,
18,ELECON,split,17-10-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EEC,
19,MUNJALSHOW,split,16-10-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MS,
20,SWANENERGY,split,13-10-2006,0.02,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SM09,
21,MANALIPETC,split,28-09-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MP02,
22,NAVNETEDUL,split,27-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NP01,
23,ALEMBICLTD,split,26-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=A08,
24,GEOJITFSL,split,26-09-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GBN01,
25,VOLTAS,split,22-09-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=V,
26,BLUESTARCO,split,20-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BS,
27,PANYAMCEM,split,13-09-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PCM,
28,SIMPLEXINF,split,13-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI82,
29,EIHOTEL,split,12-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EIH,
30,EXIDEIND,split,08-09-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EI,
31,HOTELEELA,split,08-09-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HLV,
32,SUPERSPIN,split,01-09-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SSM07,
33,GODREJIND,split,25-08-2006,0.16666666666666666,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI23,
34,GODREJCP,split,24-08-2006,0.25,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GCP,
35,GEMINI,split,18-08-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GC17,
37,CGPOWER,split,10-08-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CG,
41,JYOTISTRUC,split,28-07-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JS03,
42,CYIENT,split,28-07-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IE07,
43,UNITECH,split,23-06-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=U,
44,ASTRAZEN,split,15-06-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AZP,
45,SIEMENS,split,13-06-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=S,
46,UBL,split,09-06-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=UB02,
48,ESSELPACK,split,08-06-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EP11,
49,CHOLAHLDNG,split,31-05-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TII,
51,HINDDORROL,split,26-05-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HDO,
52,GRINDWELL,split,26-05-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GN,
53,NATPEROXID,split,26-05-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NP03,
54,ANSALAPI,split,10-05-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=API07,
55,STER,split,05-05-2006,0.4,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SII,
56,MAHSEAMLES,split,18-04-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MS02,
58,THERMAX,split,31-03-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=T,
59,IVRCLINFRA,split,29-03-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IVR,
60,HARIGCRANK,split,29-03-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HC,
61,ASHAPURMIN,split,23-03-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AM07,
63,GATI,split,21-03-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=G04,
64,JUBILANT,split,17-03-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JO03,
65,CHEMPLAST,split,08-03-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CS06,
66,KCPSUGIND,split,08-03-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KCP01,
69,VIMTALABS,split,24-02-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VL04,
70,TORNTPHARM,split,20-02-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TP06,
71,VIPCLOTHNG,split,16-02-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MI53,
73,LINCOLN,split,08-02-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LP06,
74,DONEAR,split,27-01-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DI25,
76,AARTIIND,split,13-01-2006,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AI45,
78,GAEL,split,06-01-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GAE,
79,ANTGRAPHIC,split,06-01-2006,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=A16,
80,RADICO,split,06-01-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RK01,
82,COROMANDEL,split,02-01-2006,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CI45,
0,BARODARAYN,split,13-02-1997,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BRC,
2,DRREDDY,split,10-10-2001,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DRL,
3,SKFINDIA,split,01-10-2001,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SKF01,
4,DALALSTCOM,split,10-09-2001,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DSJ,
6,SRGINFOTEC,split,20-08-2001,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PIC01,
15,HEROMOTOCO,split,12-03-2001,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HHM,
19,VIKASWSP,split,22-01-2001,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VWS,
21,PATELENG,split,02-01-2001,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PEC,
22,IPAPPM,split,01-01-2001,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=APP,
2,INDTERRAIN,split,21-12-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ITF,
3,SMSPHARMA,split,17-12-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SP38,
4,SETCO,split,16-12-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SA14,
9,JKIL,split,10-12-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KI01,
11,JAMNAAUTO,split,03-12-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JAI,
16,NATCOPHARM,split,26-11-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NP07,
17,AVANTIFEED,split,26-11-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AF21,
18,ASOCSTONE,split,26-11-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ASI01,
