SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,ISIN
Pokarna,split,2017-10-18,0.2,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pokarnalimited/PL06,INE637C01025
Dwekam Industri,split,2017-10-16,10,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pokarnalimited/DI28,INE575D01033
Can Fin Homes,split,2017-10-12,0.2,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,INE477A01020
Heritage Foods,split,2017-10-10,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoodsindia/HFI,INE978A01027
Jamna Auto,split,2017-10-05,0.2,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI,INE039C01032
Everlon Synth,split,2017-09-29,10,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/everlonsynthetics/ES05,INE339D01034
IND Renewable,split,2017-09-29,10,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/everlonsynthetics/VPI03,INE138O01029
Transformers,split,2017-09-28,0.1,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI,INE763I01026
Trans & Electr,split,2017-09-28,0.1,https://www.moneycontrol.com/india/stockpricequote/electricequipment/transformerselectricalskerala/TEK,INE763I01026
Elpro Int,split,2017-09-27,0.5,https://www.moneycontrol.com/india/stockpricequote/electricequipment/elprointernational/EI03,INE579B01039
Sutlej Textiles,split,2017-09-26,0.1,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/sutlejtextilesindustries/STI9,INE645H01027
Safari Ind,split,2017-09-22,0.2,https://www.moneycontrol.com/india/stockpricequote/plastics/safariindustriesindia/SII01,INE429E01023
Yes Bank,split,2017-09-21,0.2,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB,INE528G01027
NESCO,split,2017-09-15,0.2,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES,INE317F01035
Borosil Glass,split,2017-09-14,0.1,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/borosilglassworks/BGW,INE666D01022
Deccan Cements,split,2017-09-11,0.5,https://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/DC,INE583C01021
Infibeam Incorp,split,2017-08-31,0.1,https://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/IIL03,INE483S01020
Dollar Ind,split,2017-08-31,0.2,https://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/DI29,INE325C01035
Banas Finance,split,2017-08-29,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/banasfinanceltd/BFL02,INE521L01030
Orosil Smiths,split,2017-08-24,0.2,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/silversmithindia/SSI08,INE628B01034
Global Infra,split,2017-08-23,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/asianlakcapitalandfinanceltd/ACA,INE377M01035
Dwarikesh Sugar,split,2017-08-10,0.1,https://www.moneycontrol.com/india/stockpricequote/sugar/dwarikeshsugarindustries/DSI01,INE366A01041
Coral India Fin,split,2017-08-03,0.2,https://www.moneycontrol.com/india/stockpricequote/financehousing/coralindiafinancehousing/CIF02,INE558D01021
Sai Baba Invest,split,2017-07-27,0.1,https://www.moneycontrol.com/india/stockpricequote/financehousing/coralindiafinancehousing/SBI24,INE706P01020
Sunteck Realty,split,2017-07-25,0.5,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05,INE805D01034
Navin Fluorine,split,2017-07-19,0.2,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI,INE048G01026
SKS,split,2017-06-22,0.2,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/sks/SKS01,INE574I01035
Arcotech,split,2017-06-22,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arcotech/A17,INE574I01035
Hind Composites,split,2017-05-25,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/HC06,INE310C01029
Advanced Enzyme,split,2017-05-25,0.2,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/AET,INE837H01020
Mangal Credit,split,2017-05-17,0.1,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/takmachineryleasing/TML,INE545L01039
Mishtann Foods,split,2017-05-05,10,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/takmachineryleasing/MF21,INE094S01041
HICS Cements,split,2017-05-05,10,https://www.moneycontrol.com/india/stockpricequote/cementmini/hicscements/HIC,INE094S01041
Beardsell,split,2017-05-04,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06,INE520H01022
Dwekam Industri,split,2017-04-28,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/DI28,INE575D01033
BLS Internation,split,2017-04-26,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/BLS,INE153T01027
Avance Tech,split,2017-04-24,10,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/avancetechnologies/AT18,INE758A01056
Ontic Finserve,split,2017-04-13,10,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/avancetechnologies/OF04,INE989S01034
Maral Finance,split,2017-04-13,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maralfinance/MF12,INE989S01034
SVC Resources,split,2017-03-23,10,https://www.moneycontrol.com/india/stockpricequote/trading/svcresources/PT11,INE254H01044
Veronica Prod,split,2017-03-23,10,https://www.moneycontrol.com/india/stockpricequote/chemicals/dhvanilchemicals/DC09,INE008M01044
Bharat Elec,split,2017-03-16,0.1,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,INE263A01024
Viaan Ind,split,2017-03-09,0.1,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/HSG01,INE324N01027
Aadhaar Venture,split,2017-03-02,10,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/prranetaindustries/PI37,INE063D01030
Nutraplus India,split,2017-02-27,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nutraplusproductindia/NPI03,INE230G01020
Dwitiya Trading,split,2017-02-17,0.2,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nutraplusproductindia/DT10,INE222P01028
Allied Computer,split,2017-02-17,10,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/alliedcomputersinternationalasia/ACI13,INE335I01056
Compuage Info,split,2017-02-16,0.2,https://www.moneycontrol.com/india/stockpricequote/computershardware/compuageinfocom/CI29,INE070C01037
Gayatri Project,split,2017-02-10,0.2,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gayatriprojects/GP10,INE336H01023
LT Foods,split,2017-02-07,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ltfoods/LTF,INE818H01020
Kallam Spinning,split,2017-02-02,0.2,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kallamspinningmills/KSM,INE629F01025
Rasoi,split,2017-02-02,20,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/rasoi/R01,INE349E01023
Khemani Distrib,split,2017-02-02,0.5,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/rasoi/KDM,INE030U01025
Ushdev Intl,split,2017-01-30,0.1,https://www.moneycontrol.com/india/stockpricequote/trading/ushdevinternational/UI11,INE981D01025
Sanguine Media,split,2017-01-19,10,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sanguinemedialtd/SML03,INE617F01038
Sterling Tools,split,2017-01-09,0.2,https://www.moneycontrol.com/india/stockpricequote/fasteners/sterlingtools/ST,INE334A01023
JSW Steel,split,2017-01-04,0.1,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01,INE019A01038
ORIENTAL AROMAT,split,2018-12-13,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/camphoralliedproducts/CAP,INE959C01023
Britannia,split,2018-11-29,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,INE216A01030
Mangal Credit,split,2018-11-26,10,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/takmachineryleasing/TML,INE545L01039
Brijlaxmi Lease,split,2018-11-15,10,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/brijlaxmileasingfinance/BLF04,INE957E01031
Oriental Veneer,split,2018-11-14,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/orientalveneerproducts/OVP,INE457G01029
KIC Metaliks,split,2018-11-02,0.2,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/kicmetaliks/KIC03,INE434C01027
Mishtann Foods,split,2018-11-01,0.1,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/kicmetaliks/MF21,INE094S01041
DFM Foods,split,2018-11-01,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dfmfoods/DFM,INE456C01020
HICS Cements,split,2018-11-01,0.1,https://www.moneycontrol.com/india/stockpricequote/cementmini/hicscements/HIC,INE094S01041
Jindal Worldwid,split,2018-10-31,0.2,https://www.moneycontrol.com/india/stockpricequote/trading/jindalworldwide/JW01,INE247D01039
Damodar Ind,split,2018-10-25,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/damodarthreads/DT,INE497D01022
Frontline Sec,split,2018-10-22,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/FS08,INE773B01020
Colorchips New,split,2018-10-22,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/ME17,INE621I01026
IEX,split,2018-10-19,0.1,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/IEE,INE022Q01020
Apollo Sindoori,split,2018-10-12,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/ASH,INE451F01024
Unimode Oversea,split,2018-10-11,10,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/unimodeoverseas/UO01,INE348N01034
JMC Projects,split,2018-10-04,0.2,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jmcprojectsindia/JMC,INE890A01024
Kirloskar Pneum,split,2018-09-26,0.2,https://www.moneycontrol.com/india/stockpricequote/compressors/kirloskarpneumaticcompany/KGK,INE811A01020
Captain Poly,split,2018-09-19,0.2,https://www.moneycontrol.com/india/stockpricequote/compressors/kirloskarpneumaticcompany/CP09,INE536P01021
Generic Eng,split,2018-09-17,0.5,https://www.moneycontrol.com/india/stockpricequote/compressors/kirloskarpneumaticcompany/WPF,INE854S01022
Zensar Tech,split,2018-09-07,0.2,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02,INE520A01027
Thirumalai Chem,split,2018-08-14,0.1,https://www.moneycontrol.com/india/stockpricequote/chemicals/thirumalaichemicals/TC07,INE338A01024
Airan,split,2018-08-14,0.2,https://www.moneycontrol.com/india/stockpricequote/chemicals/thirumalaichemicals/A09,INE645W01026
Signet Ind,split,2018-08-13,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/signetindustries/SF22,INE529F01035
DIL,split,2018-08-08,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dil/DIL03,INE225B01021
Gallantt Ispat,split,2018-08-07,0.1,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gallanttispat/GI,INE528K01029
Otco Intl,split,2018-07-10,0.2,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/otcointernational/OI09,INE910B01028
Shrenik,split,2018-07-09,0.2,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/otcointernational/S25,INE632X01022
Filatex India,split,2018-06-27,0.2,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/filatexindia/FI06,INE816B01027
Avanti Feeds,split,2018-06-26,0.5,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,INE871C01038
Container Corp,split,2018-06-26,0.5,https://www.moneycontrol.com/india/stockpricequote/transport/containercorporationindia/CCI,INE111A01025
Uniply Ind,split,2018-06-25,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/uniplyindustries/UI16,INE950G01023
Vikas Proppant,split,2018-06-22,0.1,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adarshderivatives/AD03,INE767B01022
United Spirits,split,2018-06-15,0.2,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US,INE854D01024
Swadeshi Ind,split,2018-06-14,10,https://www.moneycontrol.com/india/stockpricequote/plastics/swadeshiindustriesleasingcompany/SIL01,INE716M01034
B C Power Contr,split,2018-06-14,0.2,https://www.moneycontrol.com/india/stockpricequote/plastics/swadeshiindustriesleasingcompany/PC13,INE905P01028
Lumax Auto Tech,split,2018-06-07,0.2,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01,INE872H01027
Gaekwar Mills,split,2018-05-31,0.1,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/gaekwarmillsltd/GML,INE837X01027
Gala Global Prd,split,2018-05-10,0.5,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/gaekwarmillsltd/GPC,INE480S01026
Citurgia Bioche,split,2018-04-26,0.2,https://www.moneycontrol.com/india/stockpricequote/chemicals/citurgiabiochemicals/CB03,INE795B01031
NBCC (India),split,2018-04-25,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/citurgiabiochemicals/NBC01,INE095N01031
A Infra.,split,2018-04-20,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/citurgiabiochemicals/AI74,INE534E01020
Phillips Carbon,split,2018-04-19,0.2,https://www.moneycontrol.com/india/stockpricequote/chemicals/phillipscarbonblack/PCB01,INE602A01023
Foods and Inns,split,2018-04-19,0.1,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/foodsinns/FI10,INE976E01023
Shivalik Rasa,split,2018-04-19,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/foodsinns/SR9,INE788J01021
Think Ink Studi,split,2018-04-17,0.1,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/foodsinns/OM03,INE365S01029
Amrutanjan Heal,split,2018-04-13,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01,INE098F01031
Atharv Ent,split,2018-04-12,10,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/atharventerprises/AE14,INE354E01031
Ruchika Industr,split,2018-04-10,0.5,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/atharventerprises/RII01,INE185U01027
Marathon Realty,split,2018-04-05,0.5,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/marathonnextgenrealty/MNR,INE182D01020
India Nippon,split,2018-03-21,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/indianipponelectricals/INE,INE092B01025
SRS Finance,split,2018-02-09,0.1,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/indianipponelectricals/SRS05,INE002J01027
Singer India,split,2018-01-17,0.2,https://www.moneycontrol.com/india/stockpricequote/trading/singerindia/SI26,INE638A01035
Super Crop Safe,split,2018-01-04,0.2,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/supercropsafe/SCS03,INE366G01022
Orient Trade,split,2019-05-07,0.2,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/orienttradelink/OT05,INE681D01013
Madhav Copper,split,2019-05-02,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/orienttradelink/MC07,INE813V01014
Dhanleela,split,2019-04-12,2.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rathiinvestment/RI06,INE683D01027
Generic Pharmas,split,2019-04-11,0.1,https://www.moneycontrol.com/india/stockpricequote/dyespigments/adirasayan/AR04,INE861N01028
Lesha Ind,split,2019-04-11,0.1,https://www.moneycontrol.com/india/stockpricequote/dyespigments/adirasayan/LI11,INE050L01030
Woodsvilla,split,2019-04-04,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/woodsvilla/CPC01,INE374J01020
ISGEC Heavy Eng,split,2019-03-28,0.1,https://www.moneycontrol.com/india/stockpricequote/sugar/saraswatiindustrialsyndicate/SIS06,INE858B01011
Sai Baba Invest,split,2019-03-28,10,https://www.moneycontrol.com/india/stockpricequote/sugar/saraswatiindustrialsyndicate/SBI24,INE706P01020
Nitin Castings,split,2019-03-14,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nitinalloysglobal/NAG,INE861H01020
Kedia Construct,split,2019-03-14,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nitinalloysglobal/KC14,INE511J01027
ISL Consulting,split,2019-03-08,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/islconsulting/ISL03,INE569B01022
Jam Shri Ranjit,split,2019-02-21,100,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/JSR,INE462D01018
Music Broadcast,split,2019-02-20,0.2,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/MB05,INE919I01024
The Indian Wood,split,2019-02-15,0.2,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/IWP540954,INE586E01020
Sadhana Nitro,split,2019-01-29,0.5,https://www.moneycontrol.com/india/stockpricequote/dyespigments/sadhananitrochem/SN,INE888C01032
Comfort,split,2019-01-24,10,https://www.moneycontrol.com/india/stockpricequote/financegeneral/comfortinfotech/CI32,INE819A01031
Gujarat Gas,split,2019-01-15,0.2,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgascompany/GGC,INE844O01030
Acrysil India,split,2019-01-10,0.2,https://www.moneycontrol.com/india/stockpricequote/plastics/acrysilindia/AI04,INE482D01024
