fundname,code,link,Do_Not_Use,fund_category
ABSL Tax Plan-Direct (G),MBS845,https://www.moneycontrol.com/mutual-funds/nav/absl-tax-plan-direct/MBS845,,ELSS
UTI Transport & Logistics (G),MUT066,https://www.moneycontrol.com/mutual-funds/nav/uti-transport-logistics/MUT066,,Sectoral/Thematic
Tata RSF - Progresive - Direct,MTA791,https://www.moneycontrol.com/mutual-funds/nav/tata-rsf-progresive-direct/MTA791,,Retirement Fund
ABSL Small Cap Fund (G),MBS104,https://www.moneycontrol.com/mutual-funds/nav/absl-small-cap-fund/MBS104,,Small Cap Fund
IDBI Equity Advantage -Direct (G),MIB143,https://www.moneycontrol.com/mutual-funds/nav/idbi-equity-advantage-direct/MIB143,,ELSS
ICICI Pru Multi-Asset Fund - IP,MPI147,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-multi-asset-fund-ip/MPI147,,Multi Asset Allocation
Kotak Small Cap Fund (G),MKM073,https://www.moneycontrol.com/mutual-funds/nav/kotak-small-cap-fund/MKM073,,Small Cap Fund
SBI Focused Equity Fund - D (G),MSB536,https://www.moneycontrol.com/mutual-funds/nav/sbi-focused-equity-fund-d/MSB536,,Focused Fund
Invesco India Multicap (G),MLI183,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-multicap/MLI183,,Multi Cap Fund
ABSL India GenNext (G),MBS087,https://www.moneycontrol.com/mutual-funds/nav/absl-india-gennext/MBS087,,Sectoral/Thematic
Axis Long Term Equity Fund (G),MAA011,https://www.moneycontrol.com/mutual-funds/nav/axis-long-term-equity-fund/MAA011,,ELSS
JM Tax Gain Fund -Direct (G),MJM315,https://www.moneycontrol.com/mutual-funds/nav/jm-tax-gain-fund-direct/MJM315,,ELSS
ICICI Pru Value Discovery Fund - D (G),MPI1116,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-value-discovery-fund-d/MPI1116,,Value Fund
HSBC Small Cap Equity Fund (G),MHS048,https://www.moneycontrol.com/mutual-funds/nav/hsbc-small-cap-equity-fund/MHS048,,Small Cap Fund
CR Consumer Trends Fund (G),MCA163,https://www.moneycontrol.com/mutual-funds/nav/cr-consumer-trends-fund/MCA163,,Sectoral/Thematic
Sahara REAL Fund - (G),MFI037,https://www.moneycontrol.com/mutual-funds/nav/sahara-real-fund-/MFI037,,Small & Mid Cap Equity
ABSL Tax Relief '96 (G),MBS291,https://www.moneycontrol.com/mutual-funds/nav/absl-tax-relief-96/MBS291,,ELSS
JM Value Fund (G),MJM124,https://www.moneycontrol.com/mutual-funds/nav/jm-value-fund/MJM124,,Value Fund
ABSL Midcap Fund (G),MBS027,https://www.moneycontrol.com/mutual-funds/nav/absl-midcap-fund/MBS027,,Mid Cap Fund
Sundaram Rural and Consumption Fund (G),MSN097,https://www.moneycontrol.com/mutual-funds/nav/sundaram-rural-and-consumption-fund/MSN097,,Sectoral/Thematic
UTI Banking & Financial Services - D (G),MUT631,https://www.moneycontrol.com/mutual-funds/nav/uti-banking-financial-services-d/MUT631,,Sectoral/Thematic
JM Multicap Fund - D (G),MJM320,https://www.moneycontrol.com/mutual-funds/nav/jm-multicap-fund-d/MJM320,,Multi Cap Fund
Tata Retirement Sav. - Moderate,MTA622,https://www.moneycontrol.com/mutual-funds/nav/tata-retirement-sav-moderate/MTA622,,Retirement Fund
SBI Magnum Midcap Fund - Direct (G),MSB505,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-midcap-fund-direct/MSB505,,Mid Cap Fund
Sundaram Large and Mid Cap Fund - D (G),MSN553,https://www.moneycontrol.com/mutual-funds/nav/sundaram-large-and-mid-cap-fund-d/MSN553,,Large & Mid Cap Fund
Kotak Standard Multicap Fund (G),MKM311,https://www.moneycontrol.com/mutual-funds/nav/kotak-standard-multicap-fund/MKM311,,Multi Cap Fund
SBI Magnum Multicap Fund (G),MSB073,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-multicap-fund/MSB073,,Multi Cap Fund
ABSL Equity Fund (G),MAC006,https://www.moneycontrol.com/mutual-funds/nav/absl-equity-fund/MAC006,,Multi Cap Fund
Mirae Asset India Equity - (G),MMA001,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-india-equity-/MMA001,,Multi Cap Fund
ICICI Pru RIGHT Fund (G),MPI691,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-right-fund/MPI691,,ELSS
IDFC Sterling Value Fund - D (G),MAG735,https://www.moneycontrol.com/mutual-funds/nav/idfc-sterling-value-fund-d/MAG735,,Value Fund
Kotak Tax Saver - Direct (G),MKM518,https://www.moneycontrol.com/mutual-funds/nav/kotak-tax-saver-direct/MKM518,,ELSS
Sahara Infrastructure-VPO-Direct(G),MFI079,https://www.moneycontrol.com/mutual-funds/nav/sahara-infrastructure-vpo-direct/MFI079,,Sectoral/Thematic
JM Core 11 Fund (G),MJM171,https://www.moneycontrol.com/mutual-funds/nav/jm-core-11-fund/MJM171,,Large Cap Fund
ABSL Equity Advantage Fund - D (G),MBS807,https://www.moneycontrol.com/mutual-funds/nav/absl-equity-advantage-fund-d/MBS807,,Large & Mid Cap Fund
SBI Magnum Global Fund - Direct (G),MSB509,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-global-fund-direct/MSB509,,Sectoral/Thematic
Sahara Bkg & Fin. Services (G),MFI053,https://www.moneycontrol.com/mutual-funds/nav/sahara-bkg-fin-services/MFI053,,Sectoral/Thematic
Kotak Infras. & Eco Reform (G),MAI041,https://www.moneycontrol.com/mutual-funds/nav/kotak-infras-eco-reform/MAI041,,Sectoral/Thematic
ABSL Tax Plan (G),MBS099,https://www.moneycontrol.com/mutual-funds/nav/absl-tax-plan/MBS099,,ELSS
Mirae Asset GCF -Regular (G),MMA090,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-gcf-regular/MMA090,,Sectoral/Thematic
DSP Tax Saver Fund - Direct (G),MDS572,https://www.moneycontrol.com/mutual-funds/nav/dsp-tax-saver-fund-direct/MDS572,,ELSS
BNP Paribas Mid Cap Fund (G),MAB045,https://www.moneycontrol.com/mutual-funds/nav/bnp-paribas-mid-cap-fund/MAB045,,Mid Cap Fund
Reliance Large Cap Fund - Direct (G),MRC940,https://www.moneycontrol.com/mutual-funds/nav/reliance-large-cap-fund-direct/MRC940,,Large Cap Fund
HDFC Capital Builder Value Fund - D (G),MHD1148,https://www.moneycontrol.com/mutual-funds/nav/hdfc-capital-builder-value-fund-d/MHD1148,,Value Fund
SBI Focused Equity Fund (G),MSB059,https://www.moneycontrol.com/mutual-funds/nav/sbi-focused-equity-fund/MSB059,,Focused Fund
Sahara Midcap Fund (G),MFI013,https://www.moneycontrol.com/mutual-funds/nav/sahara-midcap-fund/MFI013,,Small & Mid Cap Equity
Invesco Growth Opportunities - D (G),MLI560,https://www.moneycontrol.com/mutual-funds/nav/invesco-growth-opportunities-d/MLI560,,Large & Mid Cap Fund
Taurus Infrastructure -Direct (G),MCM141,https://www.moneycontrol.com/mutual-funds/nav/taurus-infrastructure-direct/MCM141,,Sectoral/Thematic
Kotak Equity Opportunities - D (G),MKM522,https://www.moneycontrol.com/mutual-funds/nav/kotak-equity-opportunities-d/MKM522,,Large & Mid Cap Fund
Principal Multi Cap Growth - D (G),MID309,https://www.moneycontrol.com/mutual-funds/nav/principal-multi-cap-growth-d/MID309,,
IDBI Equity Advantage - Reg (G),MIB142,https://www.moneycontrol.com/mutual-funds/nav/idbi-equity-advantage-reg/MIB142,,ELSS
Sahara Infrastructure-VPO (G),MFI023,https://www.moneycontrol.com/mutual-funds/nav/sahara-infrastructure-vpo/MFI023,,Sectoral/Thematic
ICICI Pru Value Discovery Fund (G),MPI087,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-value-discovery-fund/MPI087,,Value Fund
Sundaram Large and Mid Cap Fund (G),MSN101,https://www.moneycontrol.com/mutual-funds/nav/sundaram-large-and-mid-cap-fund/MSN101,,Large & Mid Cap Fund
Axis Focused 25 Fund - Direct (G),MAA183,https://www.moneycontrol.com/mutual-funds/nav/axis-focused-25-fund-direct/MAA183,,Focused Fund
Invesco India Tax Plan (G),MLI011,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-tax-plan/MLI011,,ELSS
Reliance Tax Saver(ELSS)-Direct (G),MRC938,https://www.moneycontrol.com/mutual-funds/nav/reliance-tax-saver-elss-direct/MRC938,,ELSS
Sahara Infrastructure-FPO-Direct(G),MFI081,https://www.moneycontrol.com/mutual-funds/nav/sahara-infrastructure-fpo-direct/MFI081,,Sectoral/Thematic
Tata Retirement Sav. - Progresive,MTA624,https://www.moneycontrol.com/mutual-funds/nav/tata-retirement-sav-progresive/MTA624,,Retirement Fund
ICICI Pru Nifty Next 50 Index - D (G),MPI1185,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-nifty-next-50-index-d/MPI1185,,Large Cap Fund
UTI Banking & Financial Services (G),MUT064,https://www.moneycontrol.com/mutual-funds/nav/uti-banking-financial-services/MUT064,,Sectoral/Thematic
ICICI Prudential Multicap Fund - D (G),MPI1132,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-multicap-fund-d/MPI1132,,Multi Cap Fund
Franklin India Equity Fund - D (G),MTE315,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-equity-fund-d/MTE315,,Multi Cap Fund
Reliance ETF Junior BeES,MBM002,https://www.moneycontrol.com/mutual-funds/nav/reliance-etf-junior-bees/MBM002,,Index Funds/ETFs
IDFC Tax Adv. (ELSS) -Direct (G),MAG741,https://www.moneycontrol.com/mutual-funds/nav/idfc-tax-adv-elss-direct/MAG741,,ELSS
JM Tax Gain Fund (G),MJM157,https://www.moneycontrol.com/mutual-funds/nav/jm-tax-gain-fund/MJM157,,ELSS
Motilal MOSt Oswal Midcap 100 ETF,MMO002,https://www.moneycontrol.com/mutual-funds/nav/motilal-most-oswal-midcap-100-etf/MMO002,,Index Funds/ETFs
SBI Magnum Midcap Fund (G),MSB065,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-midcap-fund/MSB065,,Mid Cap Fund
Reliance Growth Fund -Direct (G),MRC919,https://www.moneycontrol.com/mutual-funds/nav/reliance-growth-fund-direct/MRC919,,Mid Cap Fund
Principal Tax Savings - Direct,MID329,https://www.moneycontrol.com/mutual-funds/nav/principal-tax-savings-direct/MID329,,ELSS
Invesco India Infrastructure (G),MLI139,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-infrastructure/MLI139,,Sectoral/Thematic
DSP Equity Opportunities - Direct (G),MDS580,https://www.moneycontrol.com/mutual-funds/nav/dsp-equity-opportunities-direct/MDS580,,Large & Mid Cap Fund
IDBI Nifty Junior Index -Direct (G),MIB076,https://www.moneycontrol.com/mutual-funds/nav/idbi-nifty-junior-index-direct/MIB076,,Index Funds/ETFs
